symbol,mcap_cr
COMMAND,22.31
COMPEAU,238.54
COMPINFO,11.44
COMPUPN,12.25
COMPUSOFT,110.31
COMRADE,30.32
COMSYN,636.16
CONART,52.85
CONCOR,37253.07
CONCORD,89.24
CONCORDBIO,12377.45
CONFIPET,1587.25
CONSOFINVT,692.23
CONSTRONIC,63.01
CONTAINE,13.6
CONTAINER,19.2
CONTCHM,15.29
CONTICON,5.48
CONTILI,37.59
CONTPTR,67.89
CONTROLPR,1021.85
CORAGRO,0.2
CORALAB,162.24
CORALFINAC,135.48
CORDSCABLE,234.06
CORNE,5.37
COROENGG,284.18
COROMANDEL,61035.16
CORONA,9902.55
CORPOCO,2.15
COSBOARD,0.99
COSCO,83.75
COSMICCRF,882.61
COSMOFE,174.77
COSMOFIRST,1810.13
COSPOWER,200.27
COSYN,16.56
COTFAB,30.64
COUNCODOS,39.0
COVANCE,358.21
CPCAP,174.93
CPEDU,360.53
CPL,438.54
CPML,2793.61
CPPLUS,24998.65
CRAFTROOT,0.34
CRAFTSMAN,19060.76
CRAMC,5083.82
CRANEINFRA,10.28
CRANESSOFT,64.1
CRANEX,50.09
CRAVATEX,91.88
CREATIVE,72.17
CREATIVEYE,13.58
CREDENCE,3.13
CREDITACC,20639.48
CRESANTO,1.87
CRESCENTIS,202.9
CREST,1022.93
CRIMSON,22.32
CRISIL,31192.14
CRIZAC,3900.32
CROISSANCE,17.08
CROMPTON,16656.13
CROPSTER,809.66
CROWN,140.25
CRPRISK,10.81
CRSL,111.82
CRSTCHM,32.06
CRYOGENIC,272.36
CRYSDALE,2.18
CRYSTAL,19.93
CSBBANK,6849.54
CSL,43.8
CSLFINANCE,564.34
CSURGSU,33.09
CTCL,449.01
CTE,61.96
CTL,231.92
CTLLAB,9.08
CUB,19748.14
CUBEXTUB,140.29
CUBIFIN,16.49
CUMMINSIND,135864.45
CUPID,14269.54
CUPIDALBV,222.52
CURAA,95.8
CWD,732.25
CYBELEIND,48.35
CYBERMEDIA,29.52
CYBERTECH,403.43
CYIENT,10572.38
CYIENTDLM,2986.01
DABUR,82887.81
DACHEPALLI,106.2
DAICHI,199.75
DAIKAFFI,27.95
DAL,24.99
DALBHARAT,36054.76
DALMIASUG,2645.41
DAMCAPITAL,1122.33
DAMODARIND,64.21
DANGEE,49.85
DANLAW,363.78
DANUBE,45.63
DAPS,10.43
DARJEELING,22.09
DARSHANORNA,25.38
DATA,3.43
DATAMATICS,4401.56
DATAPATTNS,19287.06
DATIWARE,12.28
DAULAT,15.22
DAVANGERE,570.7
DAVIN,21.24
DBCORP,3916.36
DBEIL,386.68
DBL,7223.79
DBOL,692.78
DBREALTY,6009.18
DBSTOCKBRO,94.77
DCAL,2968.91
DCBBANK,5881.21
DCI,435.98
DCL,1.28
DCM,152.03
DCMFINSERV,9.68
DCMNVL,252.96
DCMSHRIRAM,17387.62
DCMSIL,578.8
DCMSRIND,367.07
DCW,1401.55
DCXINDIA,2060.09
DDEVPLSTIK,2682.09
DECCAN,29.74
DECCANCE,906.4
DECIPHER,7.47
DECNGOLD,2565.24
DECOMIC,24.89
DECPO,6.98
DEEDEV,2612.68
DEEP,89.36
DEEPAI,44.92
DEEPAKCHEM,100.96
DEEPAKFERT,15087.51
DEEPAKNTR,21948.38
